Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Ancho pulso (s),Periodo (s),Vcc (V),Vrange,NPLC,Ch2?,N bias
0.0285,1e-05,1e-05,0.0017378,173780.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.0708,-4e-05,1e-05,-0.0066541,166352.5,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.1129,-9e-05,1e-05,-0.0150349,167054.44444444444,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.1550,-0.00014000000000000001,1e-05,-0.0234267,167333.57142857142,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.1973,-0.00019,1e-05,-0.0318625,167697.36842105264,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.2395,-0.00024,1e-05,-0.0402433,167680.41666666666,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.2818,-0.00029,1e-05,-0.0486682,167821.3793103448,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.3240,-0.0003,1e-05,-0.0503289,167763.00000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.3662,-0.00024999999999999995,1e-05,-0.0419261,167704.40000000005,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.4087,-0.00019999999999999996,1e-05,-0.0335563,167781.50000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.4512,-0.00014999999999999996,1e-05,-0.0251425,167616.66666666672,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.4936,-9.999999999999996e-05,1e-05,-0.0167177,167177.00000000003,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.5361,-4.999999999999996e-05,1e-05,-0.0083038,166076.00000000012,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.5785,1e-05,1e-05,0.0017378,173780.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.6209,6e-05,1e-05,0.0101406,169009.99999999997,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.6631,0.00011,1e-05,0.0185434,168576.36363636365,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.7055,0.00016,1e-05,0.0270012,168757.5,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.7478,0.00021,1e-05,0.035382,168485.71428571426,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.7900,0.00026000000000000003,1e-05,0.0437739,168361.15384615381,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.8321,0.0003,1e-05,0.0505049,168349.66666666666,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.8743,0.00024999999999999995,1e-05,0.0421021,168408.40000000005,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.9167,0.00019999999999999996,1e-05,0.0337433,168716.5,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
0.9590,0.00014999999999999996,1e-05,0.0252964,168642.66666666672,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.0013,9.999999999999996e-05,1e-05,0.0168606,168606.00000000006,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.0435,4.999999999999996e-05,1e-05,0.0084578,169156.00000000012,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.0859,-1e-05,1e-05,-0.0015838,158380.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.1285,-6e-05,1e-05,-0.0100196,166993.3333333333,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.1710,-0.00011,1e-05,-0.0184224,167476.36363636362,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.2134,-0.00016,1e-05,-0.0268692,167932.5,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.2560,-0.00021,1e-05,-0.035283,168014.2857142857,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.2984,-0.00026000000000000003,1e-05,-0.0436969,168064.99999999994,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.3409,-0.0003,1e-05,-0.0504499,168166.33333333334,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.3834,-0.00024999999999999995,1e-05,-0.0420141,168056.40000000005,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.4259,-0.00019999999999999996,1e-05,-0.0336223,168111.50000000003,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.4684,-0.00014999999999999996,1e-05,-0.0251975,167983.33333333337,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.5109,-9.999999999999996e-05,1e-05,-0.0167396,167396.00000000006,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.5535,-4.999999999999996e-05,1e-05,-0.0083368,166736.00000000012,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.5959,1e-05,1e-05,0.0017048,170480.0,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.6383,6e-05,1e-05,0.0101406,169009.99999999997,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.6806,0.00011,1e-05,0.0185654,168776.36363636362,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.7230,0.00016,1e-05,0.0270232,168895.0,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.7654,0.00021,1e-05,0.035459,168852.38095238095,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.8078,0.00026000000000000003,1e-05,0.0438948,168826.15384615381,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.8502,0.0003,1e-05,0.0506259,168753.0,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.8926,0.00024999999999999995,1e-05,0.0421901,168760.40000000005,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.9350,0.00019999999999999996,1e-05,0.0338312,169156.00000000003,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
1.9773,0.00014999999999999996,1e-05,0.0252964,168642.66666666672,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.0197,9.999999999999996e-05,1e-05,0.0169156,169156.00000000006,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.0621,4.999999999999996e-05,1e-05,0.0084578,169156.00000000012,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.1046,-1e-05,1e-05,-0.0015948,159480.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.1471,-6e-05,1e-05,-0.0100526,167543.3333333333,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.1895,-0.00011,1e-05,-0.0184774,167976.36363636365,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.2320,-0.00016,1e-05,-0.0269462,168413.75,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.2744,-0.00021,1e-05,-0.035371,168433.33333333334,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.3170,-0.00026000000000000003,1e-05,-0.0438398,168614.61538461535,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.3595,-0.0003,1e-05,-0.0506039,168679.6666666667,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.4020,-0.00024999999999999995,1e-05,-0.0421681,168672.40000000005,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.4445,-0.00019999999999999996,1e-05,-0.0337213,168606.50000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.4869,-0.00014999999999999996,1e-05,-0.0252525,168350.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.5294,-9.999999999999996e-05,1e-05,-0.0168276,168276.00000000006,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.5717,-4.999999999999996e-05,1e-05,-0.0083588,167176.00000000012,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.6142,1e-05,1e-05,0.0017378,173780.0,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.6566,6e-05,1e-05,0.0102176,170293.3333333333,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.6992,0.00011,1e-05,0.0186204,169276.36363636362,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.7415,0.00016,1e-05,0.0271442,169651.25,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.7840,0.00021,1e-05,0.035547,169271.42857142858,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.8264,0.00026000000000000003,1e-05,0.0440488,169418.4615384615,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.8689,0.0003,1e-05,0.0507579,169193.0,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.9113,0.00024999999999999995,1e-05,0.0423111,169244.40000000002,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.9537,0.00019999999999999996,1e-05,0.0338752,169376.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
2.9961,0.00014999999999999996,1e-05,0.0253404,168936.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.0384,9.999999999999996e-05,1e-05,0.0169376,169376.00000000006,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.0806,4.999999999999996e-05,1e-05,0.0085018,170036.00000000012,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.1231,-1e-05,1e-05,-0.0016168,161680.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.1656,-6e-05,1e-05,-0.0100306,167176.66666666666,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.2078,-0.00011,1e-05,-0.0184994,168176.36363636362,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.2502,-0.00016,1e-05,-0.0269682,168551.25,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.2926,-0.00021,1e-05,-0.035448,168800.0,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.3351,-0.00026000000000000003,1e-05,-0.0438178,168529.99999999994,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.3776,-0.0003,1e-05,-0.0505819,168606.33333333334,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.4201,-0.00024999999999999995,1e-05,-0.0421681,168672.40000000005,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.4626,-0.00019999999999999996,1e-05,-0.0337213,168606.50000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.5050,-0.00014999999999999996,1e-05,-0.0252854,168569.33333333337,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.5475,-9.999999999999996e-05,1e-05,-0.0167836,167836.00000000006,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.5899,-4.999999999999996e-05,1e-05,-0.0083588,167176.00000000012,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.6324,1e-05,1e-05,0.0017268,172680.0,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.6747,6e-05,1e-05,0.0101736,169559.99999999997,169380.0,0.0016938,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.7173,0.00011,1e-05,0.0186424,169476.36363636362,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.7597,0.00016,1e-05,0.0271222,169513.75,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.8021,0.00021,1e-05,0.035547,169271.42857142858,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.8445,0.00026000000000000003,1e-05,0.0440048,169249.23076923072,178170.0,0.0017817,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.8869,0.0003,1e-05,0.0507799,169266.33333333334,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.9292,0.00024999999999999995,1e-05,0.0423331,169332.40000000002,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
3.9716,0.00019999999999999996,1e-05,0.0339192,169596.0,169380.0,0.0016938,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.0140,0.00014999999999999996,1e-05,0.0253844,169229.33333333337,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.0562,9.999999999999996e-05,1e-05,0.0169376,169376.00000000006,169380.0,0.0016938,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.0986,4.999999999999996e-05,1e-05,0.0085018,170036.00000000012,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.1411,-1e-05,1e-05,-0.0016278,162780.0,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.1837,-6e-05,1e-05,-0.0100746,167909.99999999997,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.2262,-0.00011,1e-05,-0.0184994,168176.36363636362,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.2687,-0.00016,1e-05,-0.0270012,168757.5,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.3112,-0.00021,1e-05,-0.035426,168695.23809523808,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.3537,-0.00026000000000000003,1e-05,-0.0439278,168953.0769230769,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.3961,-0.0003,1e-05,-0.0506699,168899.66666666666,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.4385,-0.00024999999999999995,1e-05,-0.0422341,168936.40000000002,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.4811,-0.00019999999999999996,1e-05,-0.0337873,168936.50000000003,178170.0,0.0017817,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.5236,-0.00014999999999999996,1e-05,-0.0252964,168642.66666666672,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.5662,-9.999999999999996e-05,1e-05,-0.0168276,168276.00000000006,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.6086,-4.999999999999996e-05,1e-05,-0.0083478,166956.00000000015,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.6510,1e-05,1e-05,0.0017158,171580.0,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.6935,6e-05,1e-05,0.0101956,169926.66666666666,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.7359,0.00011,1e-05,0.0186424,169476.36363636362,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.7783,0.00016,1e-05,0.0271772,169857.5,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.8208,0.00021,1e-05,0.035635,169690.47619047618,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.8631,0.00026000000000000003,1e-05,0.0441258,169714.61538461535,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.9055,0.0003,1e-05,0.0509338,169779.33333333334,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.9480,0.00024999999999999995,1e-05,0.042399,169596.00000000003,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
4.9904,0.00019999999999999996,1e-05,0.0339302,169651.00000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.0327,0.00014999999999999996,1e-05,0.0254284,169522.66666666672,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.0751,9.999999999999996e-05,1e-05,0.0169706,169706.00000000003,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.1175,4.999999999999996e-05,1e-05,0.0085128,170256.00000000012,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.1599,-1e-05,1e-05,-0.0015948,159480.0,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.2024,-6e-05,1e-05,-0.0100306,167176.66666666666,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.2449,-0.00011,1e-05,-0.0185544,168676.36363636362,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.2871,-0.00016,1e-05,-0.0270562,169101.25,178170.0,0.0017817,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.3296,-0.00021,1e-05,-0.035525,169166.66666666666,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.3721,-0.00026000000000000003,1e-05,-0.0439608,169079.99999999997,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.4146,-0.0003,1e-05,-0.0507689,169229.66666666666,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.4571,-0.00024999999999999995,1e-05,-0.0422781,169112.40000000005,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.4995,-0.00019999999999999996,1e-05,-0.0338312,169156.00000000003,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.5420,-0.00014999999999999996,1e-05,-0.0253404,168936.00000000003,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.5844,-9.999999999999996e-05,1e-05,-0.0168606,168606.00000000006,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.6269,-4.999999999999996e-05,1e-05,-0.0084028,168056.00000000012,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.6693,1e-05,1e-05,0.0017158,171580.0,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.7118,6e-05,1e-05,0.0102066,170109.99999999997,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.7543,0.00011,1e-05,0.0186864,169876.36363636362,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.7967,0.00016,1e-05,0.0272322,170201.25,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.8391,0.00021,1e-05,0.03569,169952.38095238095,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.8814,0.00026000000000000003,1e-05,0.0441808,169926.15384615381,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.9238,0.0003,1e-05,0.0509778,169926.0,170480.0,0.0017048,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
5.9662,0.00024999999999999995,1e-05,0.04252,170080.00000000006,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.0085,0.00019999999999999996,1e-05,0.0340182,170091.00000000003,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.0509,0.00014999999999999996,1e-05,0.0255054,170036.00000000006,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.0934,9.999999999999996e-05,1e-05,0.0170696,170696.00000000006,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.1358,4.999999999999996e-05,1e-05,0.0085348,170696.00000000012,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.1782,-1e-05,1e-05,-0.0016168,161680.0,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.2207,-6e-05,1e-05,-0.0100746,167909.99999999997,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.2632,-0.00011,1e-05,-0.0185874,168976.36363636362,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.3056,-0.00016,1e-05,-0.0271112,169445.0,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.3480,-0.00021,1e-05,-0.03558,169428.57142857142,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.3903,-0.00026000000000000003,1e-05,-0.0440928,169587.69230769228,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.4327,-0.0003,1e-05,-0.0508679,169559.6666666667,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.4752,-0.00024999999999999995,1e-05,-0.042355,169420.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.5177,-0.00019999999999999996,1e-05,-0.0338972,169486.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.5602,-0.00014999999999999996,1e-05,-0.0253734,169156.00000000003,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.6027,-9.999999999999996e-05,1e-05,-0.0168936,168936.00000000006,171580.0,0.0017158,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.6451,-4.999999999999996e-05,1e-05,-0.0084028,168056.00000000012,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.6876,1e-05,1e-05,0.0017268,172680.0,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.7300,6e-05,1e-05,0.0102726,171209.99999999997,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.7724,0.00011,1e-05,0.0187304,170276.36363636365,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.8149,0.00016,1e-05,0.0272872,170545.0,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.8573,0.00021,1e-05,0.035767,170319.04761904763,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.8997,0.00026000000000000003,1e-05,0.0442688,170264.61538461535,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.9420,0.0003,1e-05,0.0510768,170256.0,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
6.9844,0.00024999999999999995,1e-05,0.042608,170432.00000000006,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.0269,0.00019999999999999996,1e-05,0.0341172,170586.00000000003,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.0693,0.00014999999999999996,1e-05,0.0255164,170109.33333333337,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.1117,9.999999999999996e-05,1e-05,0.0170366,170366.00000000003,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.1541,4.999999999999996e-05,1e-05,0.0085348,170696.00000000012,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.1966,-1e-05,1e-05,-0.0016168,161680.0,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.2390,-6e-05,1e-05,-0.0101296,168826.66666666666,175980.0,0.0017598,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.2815,-0.00011,1e-05,-0.0186534,169576.36363636365,173780.0,0.0017378,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.3240,-0.00016,1e-05,-0.0271552,169720.0,174880.0,0.0017488,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.3666,-0.00021,1e-05,-0.035657,169795.2380952381,172680.0,0.0017268,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
7.4090,-0.00026000000000000003,1e-05,-0.0441808,169926.15384615381,177080.0,0.0017708,nan,nan,nan,nan,0.1,1.0,20.0,10 V,1.0,False,1
